"logs","risk"
"Workflow run ID: 70000000270
Workflow: Spring Boot CI
Event: workflow_dispatch
Status: completed
Conclusion: success
Branch: release
Jobs created: 1
Duration seconds: 443

Job: build
Job status: completed
Job conclusion: success
Runner: GitHub Actions 1440501833
Steps:
- Set up job: success
- Checkout repository: success
- Setup Java 21: success
- Build Project: success
- Dependency Scan: success
- Security Scan: success
- Publish Artifact: success
- Post Setup Java 21: success
- Post Checkout repository: success
- Complete job: success

Workflow result: all required stages completed successfully
Deployment recommendation: proceed","LOW"
"Workflow run ID: 80000000108
Workflow: Cloud Native CI/CD
Event: pull_request
Status: completed
Conclusion: success
Branch: feature/risk-analysis
Jobs created: 1
Duration seconds: 128

Job: build
Job status: completed
Job conclusion: success
Runner: GitHub Actions 1922164897
Steps:
- Set up job: success
- Checkout repository: success
- Setup Java 21: success
- Build Project: success
- Run Unit Tests: success
- Medium severity vulnerability detected review required: success
- Build Docker Image: success
- Post Setup Java 21: success
- Post Checkout repository: success
- Complete job: success

Warning: Medium severity vulnerability detected review required
Workflow result: completed successfully with non-critical warnings
Deployment recommendation: manual review required","MEDIUM"
"Workflow run ID: 70000000026
Workflow: Maven Build Pipeline
Event: push
Status: completed
Conclusion: success
Branch: main
Jobs created: 1
Duration seconds: 308

Job: build
Job status: completed
Job conclusion: success
Runner: GitHub Actions 1020976613
Steps:
- Set up job: success
- Checkout repository: success
- Setup Java 21: success
- Build Project: success
- Run Unit Tests: success
- Code Coverage Check: success
- Package Application: success
- Post Setup Java 21: success
- Post Checkout repository: success
- Complete job: success

Workflow result: all required stages completed successfully
Deployment recommendation: proceed","LOW"
"Workflow run ID: 90000000263
Workflow: Maven Build Pipeline
Event: push
Status: completed
Conclusion: failure
Branch: develop
Jobs created: 1
Duration seconds: 227

Job: build
Job status: completed
Job conclusion: failure
Runner: GitHub Actions 1378208867
Steps:
- Set up job: success
- Checkout repository: success
- Setup Java 21: success
- Resolve Maven dependencies: failure
- Compile application: skipped
- Run Unit Tests: skipped
- Run Integration Tests: skipped
- Build Docker Image: skipped
- Deploy to Staging: skipped
- Application Health Check: skipped
- Upload diagnostic reports: success
- Post Setup Java 21: success
- Post Checkout repository: success
- Complete job: success

Error: Maven build failed due to unresolved dependency
Process completed with exit code 1
Workflow result: pipeline failed
Deployment recommendation: stop deployment","HIGH"
"Workflow run ID: 70000000048
Workflow: Cloud Native CI/CD
Event: push
Status: completed
Conclusion: success
Branch: main
Jobs created: 1
Duration seconds: 483

Job: build
Job status: completed
Job conclusion: success
Runner: GitHub Actions 1652897298
Steps:
- Set up job: success
- Checkout repository: success
- Setup Java 21: success
- Build Project: success
- Dependency Scan: success
- Security Scan: success
- Publish Artifact: success
- Post Setup Java 21: success
- Post Checkout repository: success
- Complete job: success

Workflow result: all required stages completed successfully
Deployment recommendation: proceed","LOW"
"Workflow run ID: 90000000290
Workflow: Kubernetes Deployment Pipeline
Event: pull_request
Status: completed
Conclusion: failure
Branch: develop
Jobs created: 1
Duration seconds: 123

Job: build
Job status: completed
Job conclusion: failure
Runner: GitHub Actions 1852593235
Steps:
- Set up job: success
- Checkout repository: success
- Setup Java 21: success
- Resolve Maven dependencies: success
- Compile application: success
- Run Unit Tests: success
- Run Integration Tests: success
- Build Docker Image: success
- Deploy to Staging: success
- Application Health Check: success
- Security Scan: failure
- Upload diagnostic reports: success
- Post Setup Java 21: success
- Post Checkout repository: success
- Complete job: success

Error: Critical vulnerabilities detected deployment blocked
Process completed with exit code 1
Workflow result: pipeline failed
Deployment recommendation: stop deployment","HIGH"
"Workflow run ID: 80000000310
Workflow: Cloud Native CI/CD
Event: pull_request
Status: completed
Conclusion: success
Branch: main
Jobs created: 1
Duration seconds: 224

Job: build
Job status: completed
Job conclusion: success
Runner: GitHub Actions 1401581442
Steps:
- Set up job: success
- Checkout repository: success
- Setup Java 21: success
- Build Project: success
- Run Unit Tests: success
- Minor configuration warning detected during deployment: success
- Package Application: success
- Post Setup Java 21: success
- Post Checkout repository: success
- Complete job: success

Warning: Minor configuration warning detected during deployment
Workflow result: completed successfully with non-critical warnings
Deployment recommendation: manual review required","MEDIUM"
"Workflow run ID: 80000000320
Workflow: Java CI Build
Event: pull_request
Status: completed
Conclusion: success
Branch: hotfix/build-fix
Jobs created: 1
Duration seconds: 521

Job: build
Job status: completed
Job conclusion: success
Runner: GitHub Actions 1553804504
Steps:
- Set up job: success
- Checkout repository: success
- Setup Java 21: success
- Build Project: success
- Run Unit Tests: success
- Memory usage warning detected during compilation: success
- Deploy to Staging: success
- Post Setup Java 21: success
- Post Checkout repository: success
- Complete job: success

Warning: Memory usage warning detected during compilation
Workflow result: completed successfully with non-critical warnings
Deployment recommendation: manual review required","MEDIUM"
"Workflow run ID: 80000000099
Workflow: Spring Boot CI
Event: workflow_dispatch
Status: completed
Conclusion: success
Branch: main
Jobs created: 1
Duration seconds: 373

Job: build
Job status: completed
Job conclusion: success
Runner: GitHub Actions 1239546050
Steps:
- Set up job: success
- Checkout repository: success
- Setup Java 21: success
- Build Project: success
- Run Unit Tests: success
- Staging health check intermittent response detected: success
- Deploy to Staging: success
- Post Setup Java 21: success
- Post Checkout repository: success
- Complete job: success

Warning: Staging health check intermittent response detected
Workflow result: completed successfully with non-critical warnings
Deployment recommendation: manual review required","MEDIUM"
"Workflow run ID: 80000000006
Workflow: Cloud Native CI/CD
Event: pull_request
Status: completed
Conclusion: success
Branch: feature/risk-analysis
Jobs created: 1
Duration seconds: 392

Job: build
Job status: completed
Job conclusion: success
Runner: GitHub Actions 1526725319
Steps:
- Set up job: success
- Checkout repository: success
- Setup Java 21: success
- Build Project: success
- Run Unit Tests: success
- Memory usage warning detected during compilation: success
- Build Docker Image: success
- Post Setup Java 21: success
- Post Checkout repository: success
- Complete job: success

Warning: Memory usage warning detected during compilation
Workflow result: completed successfully with non-critical warnings
Deployment recommendation: manual review required","MEDIUM"
